text_en,text_ja
"A component can be hardware or software and can be subdivided into other components. Component refers to a part of a whole, such as a component of a software product or a component of a software identification tag. The terms module, component, and unit are often used interchangeably or defined to be subelements of one another in different ways depending upon the context. The relationship of these terms is not standardized. A component can be independently managed or not, from the end-user or administrator's point of view",コンポーネントはハードウェアまたはソフトウェアであり、他のコンポーネントに細分化できます。コンポーネントとは、ソフトウェア製品のコンポーネントやソフトウェア識別タグのコンポーネントなど、全体の一部を指します。モジュール、コンポーネント、およびユニットという用語は、多くの場合、同じ意味で使用されたり、文脈に応じてさまざまな方法で互いの部分要素として定義されたりします。これらの用語の関係は標準化されていません。エンドユーザーまたは管理者の観点から、コンポーネントは独立して管理できるかどうかに関係なく、
"a component of a project or program management plan that describes how costs will be planned, structured, and controlled",コストをどのように計画、構造化、および制御するかを説明するプロジェクトまたはプログラム管理計画の構成要素
a component of the human resource plan that describes when and how project team members will be acquired and how long they will be needed,プロジェクト チームのメンバーをいつ、どのように獲得するか、またどのくらいの期間必要になるかを説明する人事計画の構成要素
"a component of the project management plan that describes how requirements will be analyzed, documented, and managed",要件をどのように分析、文書化、管理するかを説明するプロジェクト管理計画のコンポーネント
"a component of the project management plan that establishes the criteria and the activities for developing, monitoring, and controlling the schedule",スケジュールの作成、監視、制御のための基準と活動を確立するプロジェクト管理計画のコンポーネント。
a component of the project or program management plan that describes how a project team will acquire goods and services from outside the performing organization,プロジェクトチームが実行組織の外部から物品やサービスをどのように入手するかを説明するプロジェクトまたはプログラム管理計画の構成要素。
a component of the project or program management plan that describes how an organization's quality policies will be implemented,組織の品質ポリシーがどのように実施されるかを説明するプロジェクトまたはプログラム管理計画の構成要素
"a component of the project or program management plan that describes how the roles and responsibilities, reporting relationships and staff management will be addressed and structured",役割と責任、報告関係、スタッフ管理がどのように対処され、構造化されるかを説明するプロジェクトまたはプログラム管理計画の構成要素。
"a component of the project, program or portfolio management plan that describes how risk management activities will be structured and performed",リスク管理活動がどのように構築され、実行されるかを説明するプロジェクト、プログラム、またはポートフォリオ管理計画の構成要素。
"a component of the project, program, or portfolio management plan that describes how, when, and by whom information about the project will be administered and disseminated",プロジェクト、プログラム、またはポートフォリオ管理計画の構成要素で、プロジェクトに関する情報がいつ、どのように、誰によって管理され、広められるかを説明するもの
"A composite of four attributes: confidentiality, integrity, availability, and accountability, plus aspects of a fifth: usability, all of which have the related issue of their assurance. Security pertains to personnel, data, communications, and the physical protection of computer installations.",機密性、完全性、可用性、説明責任という 4 つの属性と、5 番目のユーザビリティの側面を組み合わせたもので、これらすべてに保証という関連する問題があります。セキュリティは、人員、データ、通信、およびコンピュータの設置の物理的保護に関係します。
"a comprehensive list of changes made during the project. This typically includes dates of the change and impacts in terms of time, cost, and risk",プロジェクト中に行われた変更の包括的なリスト。これには通常、変更の日付と、時間、コスト、リスクの観点からの影響が含まれます。
"A computational interface template comprises a signal, a stream or an operation interface signature as appropriate, a behavior specification and an environment contract specification.",計算インターフェイス テンプレートは、信号、ストリーム、または操作インターフェイスの署名 (必要に応じて)、動作仕様、および環境コントラクト仕様で構成されます。
a computer and the software it supports (operating system and applications),コンピュータとそれがサポートするソフトウェア (オペレーティング システムとアプリケーション)
A computer can consist of a stand-alone unit or several interconnected units,コンピュータは、スタンドアロン ユニットまたは複数の相互接続されたユニットで構成されます。
a computer system used in an aircraft or rapid transit system,航空機または高速輸送システムで使用されるコンピュータ システム
"A computing device can consist of a stand-alone unit, or several interconnected units. It can also be a device that provides a specific set of functions, such as a phone or a personal organizer, or more general functions such as a laptop or desktop computer.",コンピューティング デバイスは、スタンドアロン ユニットまたは複数の相互接続されたユニットで構成されます。電話やシステム手帳などの特定の機能セットを提供するデバイスや、ラップトップ コンピュータやデスクトップ コンピュータなどのより一般的な機能を提供するデバイスの場合もあります。
"a concept that is unique to each organization and includes tangible and intangible elements. Through the effective use of project, program, and portfolio management disciplines, organizations will possess the ability to employ reliable, established processes to meet enterprise objectives and obtain greater business value from their investments.",各組織に固有の、有形無形の要素を含む概念。プロジェクト、プログラム、およびポートフォリオの管理規律を効果的に使用することにより、組織は、信頼性の高い確立されたプロセスを採用して企業目標を達成し、投資からより大きなビジネス価値を得ることができるようになります。
"A concern pertains to any influence on a system in its environment, including developmental, technological, business, operational, organizational, political, economic, legal, regulatory, ecological and social influences.",懸念とは、開発、技術、ビジネス、運用、組織、政治、経済、法律、規制、生態学的、社会的な影響を含む、環境内のシステムに対するあらゆる影響に関するものです。
A concurrent system or application has many threads of control.,並行システムまたはアプリケーションには、多数の制御スレッドがあります。
"a condition or capability that must be present in a product, service, or result to satisfy a contract or other formally imposed specification",契約またはその他の正式に課された仕様を満たすために、製品、サービス、または結果に存在しなければならない条件または機能
a condition or capability that will be used to assess conformance by validating the acceptability of an attribute for the quality of a result,結果の品質に対する属性の受け入れ可能性を検証することによって適合性を評価するために使用される条件または機能
A constraint is a factor that is imposed on the solution by force or compulsion and can limit or modify the design changes.,制約は、強制または強制によってソリューションに課せられる要素であり、設計変更を制限または変更することができます。
A contract is an agreement between two or more parties regarding a course of action. The formality of a contract can range from a simple informal oral description to a formal written instrument.,契約とは、一連の行動に関する 2 つ以上の当事者間の合意です。契約の形式は、単純な非公式の口頭説明から正式な文書に至るまで多岐にわたります。
a correlation chart that uses a regression line to explain or to predict how the change in an independent variable will change a dependent variable,独立変数の変化が従属変数をどのように変化させるかを説明または予測するために回帰直線を使用する相関図
"a cost, time, quality, technical, or resource value used as a parameter, and which may be included in product specifications. Crossing the threshold should trigger some action, such as generating an exception report.",コスト、時間、品質、技術、またはリソースの値がパラメーターとして使用され、製品仕様に含まれる場合があります。しきい値を超えると、例外レポートの生成など、何らかのアクションがトリガーされます。
a count that measures a project that provides end-users with the first installation of the software,エンドユーザーにソフトウェアの最初のインストールを提供するプロジェクトを測定する数
"a count that measures the functionality provided to the end users with the first installation of the software, developed when the project is complete",プロジェクトの完了時に開発され、ソフトウェアの最初のインストール時にエンド ユーザーに提供される機能を測定するカウント
"a count that measures the work-output arising from modifications to an existing application that add, change or delete user functions delivered when the project is complete",プロジェクトの完了時に提供されるユーザー機能を追加、変更、または削除する既存のアプリケーションの変更によって生じる作業成果を測定する数。
a count that provides a measure of the functionality the application provides to the end-user,アプリケーションがエンドユーザーに提供する機能の尺度を提供するカウント
a count to determine the number of function points at the end of a project,プロジェクト終了時のファンクションポイントの数を決定するためのカウント
a count to determine the size of an interim enhancement during a new development project or an enhancement project,新規開発プロジェクトまたは拡張プロジェクト中の中間拡張のサイズを決定するためのカウント
a critical path method technique for calculating the early start and early finish dates by working forward through the schedule model from the project start date or a given point in time,プロジェクトの開始日または特定の時点からスケジュール モデルを進めて、早期の開始日と早期終了日を計算するクリティカル パス手法手法
a critical path method technique for calculating the late start and late finish dates by working backward through the schedule model from the project end date,プロジェクト終了日からスケジュール モデルを逆算して、遅い開始日と遅い終了日を計算するクリティカル パス法手法
"A customer can be internal or external to the organization. This is the entity to whom the system developer must provide proof that the system developed satisfies the system requirements specified. Customers are a subset of stakeholders. An application management organization can have customers that are internal or external business information management organizations and other application management organizations. A user or end user is a person that actually uses the application software, where a customer is a person or organization that decides about and acquires the products or services. The customer or user organization is, in its relationships with application management, represented by business information management.",顧客は組織の内部または外部の場合があります。これは、システム開発者が開発したシステムが指定されたシステム要件を満たしていることを証明する必要があるエンティティです。顧客は利害関係者の一部です。アプリケーション管理組織は、社内または社外のビジネス情報管理組織やその他のアプリケーション管理組織を顧客とすることができます。ユーザーまたはエンド ユーザーはアプリケーション ソフトウェアを実際に使用する人であり、顧客は製品またはサービスを決定し、取得する人または組織です。顧客またはユーザー組織は、アプリケーション管理との関係において、ビジネス情報管理によって代表されます。
A customer can be internal or external to the service provider's organization.,顧客は、サービス プロバイダーの組織の内部または外部に存在する場合があります。
"A data element can be a character string, or a digital or graphical element in a BFC. When 'data elements' are indicated for a BFC, the number of data elements is always greater than 0.",データ要素は、BFC 内の文字列、またはデジタル要素またはグラフィック要素にすることができます。 BFC に「データ要素」が指定されている場合、データ要素の数は常に 0 より大きくなります。
a data entity-type arrived at by Third Normal Form analysis which is not one of the main entity-types for whic the application in question has been built,問題のアプリケーションが構築された主要なエンティティ タイプの 1 つではない、第 3 正規形分析によって到達したデータ エンティティ タイプ
a data item that specifies the address of the next employee record to be processed,次に処理される従業員レコードのアドレスを指定するデータ項目
"a data item, program statement, or subprogram",データ項目、プログラムステートメント、またはサブプログラム
"A data model can be encoded and manipulated by a computer. A data model identifies the entities, domains (attributes), and relationships (associations) with other data and provides the conceptual view of the data and the relationships among data [key style]. A distinction is made between a logical (or functional) and a technical data model. A logical data model is a representation of an organization's data, organized in terms of entities and relationships and is independent of any particular data management technology. In a technical data model, it is determined in what form data are recorded in the database and in which way the data are approached.",データ モデルは、コンピューターでエンコードして操作できます。データ モデルは、エンティティ、ドメイン (属性)、および他のデータとの関係 (関連付け) を識別し、データの概念図とデータ間の関係を提供します [キー スタイル]。論理 (または機能) データ モデルと技術データ モデルは区別されます。論理データ モデルは、エンティティと関係の観点から編成された組織のデータを表現したもので、特定のデータ管理テクノロジから独立しています。テクニカル データ モデルでは、データがどのような形式でデータベースに記録されるか、およびデータにどのような方法でアプローチするかが決定されます。
a data model that illustrates the data groups as they are seen by the user,ユーザーから見たデータ グループを示すデータ モデル
a data movement type that moves a data group lying inside the functional process to persistent storage,機能プロセス内にあるデータ グループを永続ストレージに移動するデータ移動タイプ
"a data type called COLORS with possible values RED, BLUE, and YELLOW",COLORS というデータ型。可能な値は RED、BLUE、YELLOW です。
"a data type called PAIRS whose members are ordered pairs (x,y)","PAIRS と呼ばれるデータ型。そのメンバーは順序付けられたペア (x,y) です。"
"a date-certain scheduling method for a project with a specific end date, after which the value of the project declines precipitously or a penalty for non-completion is applied",特定の終了日を持つプロジェクトに対する日付確定型のスケジュール方法。その後、プロジェクトの価値が急激に低下するか、未完了に対するペナルティが適用されます。
"a decision based on price, delivery date, and quality all at the same time",価格、納期、品質を同時に考慮して決定
a decomposition technique that helps trace an undesirable effect back to its root cause,望ましくない影響をその根本原因まで追跡するのに役立つ分解手法
a defined category of BFCs,BFC の定義されたカテゴリ
"a defined function to be performed by a project team member, such as testing, filing, inspecting, coding",テスト、ファイリング、検査、コーディングなど、プロジェクト チームのメンバーが実行する定義済みの機能
"A defined process has a process description that is documented and maintained and contributes work products, measures, and other process improvement information to the organization's process assets. A project's defined process provides a basis for planning, performing, and improving the tasks and activities of the project.",定義されたプロセスには、文書化および維持されるプロセスの説明があり、作業成果物、測定値、およびその他のプロセス改善情報が組織のプロセス資産に提供されます。プロジェクトで定義されたプロセスは、プロジェクトのタスクとアクティビティを計画、実行、改善するための基礎を提供します。
"a defined systematic procedure employed by a human resource to perform an activity to produce a product or result or deliver a service, and that may employ one or more tools",製品や結果を生産したり、サービスを提供したりするための活動を実行するために人事が採用する定義された体系的な手順であり、1 つ以上のツールを使用する場合があります。
"A delegation, once made, can later be withdrawn.",委任は、一度行われた後、撤回することができます。
"a dependency between two activities, or between an activity and a milestone",2 つのアクティビティ間の依存関係、またはアクティビティとマイルストーン間の依存関係
a description of a project or product attribute and how to measure it,プロジェクトまたは製品の属性の説明とその測定方法
a description of how individual requirements meet the business need for the project,個々の要件がプロジェクトのビジネス ニーズをどのように満たすかについての説明
"a description, analogy or schematic used to represent how the communication process will be performed for the project",プロジェクトのコミュニケーションプロセスがどのように実行されるかを表すために使用される説明、類推、または概略図
a design language or requirements specification language,設計言語または要件仕様言語
a designation of whether a mapping is complete (totally mapped) or incomplete (partial),マッピングが完全（完全にマッピング）であるか不完全（部分的）であるかの指定
a device that counts the occurrences of various electrical events or measures the time between such events,さまざまな電気的イベントの発生をカウントしたり、そのようなイベント間の時間を測定したりする装置
"a diagnostic message, a diagnostic manual",診断メッセージ、診断マニュアル
"A diagram reference is composed of a model name, abbreviation and a diagram number.",図リファレンスは、モデル名、略称、図番号で構成されます。
a diagram that depicts a set of real-world entities and the logical relationships among the,一連の現実世界のエンティティとエンティティ間の論理関係を表す図。
a diagramming and calculation technique for evaluating the implications of a chain of multiple options in the presence of uncertainty,不確実性が存在する場合の複数のオプションの連鎖の影響を評価するための図表作成および計算手法
A discrete type can be an enumeration type or an integer type.,離散型には、列挙型または整数型を指定できます。
a displayed forecast of when software features will be released and how they will be grouped into releases,ソフトウェア機能がいつリリースされるか、およびそれらがどのようにリリースにグループ化されるかについての予測の表示
"a distinct, non-empty, non-ordered and non-redundant set of data attributes where each included data attribute describes complementary aspect of the same object of interest",含まれる各データ属性が同じ対象オブジェクトの相補的な側面を記述する、別個の、空ではなく、順序付けがなく、冗長でないデータ属性のセット。
"a distinct, non-empty, non-ordered and non-redundant set of data elements",個別で、空ではなく、順序付けがなく、冗長性のないデータ要素のセット
"a distinct, scheduled portion of work performed during the course of a project",プロジェクトの進行中に実行される作業のうち、明確にスケジュールされた部分
a distinctive property of the FUR that is important for identifying the functional domain to which a specific set of FUR belongs,特定の FUR セットが属する機能ドメインを識別するために重要な、FUR の特有の特性
a document containing a set of associated instructions for testing,テストに関連する一連の指示を含む文書
a document in which the results of risk analysis and risk response planning are recorded,リスク分析とリスク対応計画の結果を記録した文書
"a document issued by the project initiator or sponsor that formally authorizes the existence of a project, and provides the project manager with the authority to apply organizational resources to project activities",プロジェクトの開始者またはスポンサーによって発行され、プロジェクトの存在を正式に承認し、プロジェクト マネージャーに組織リソースをプロジェクト活動に適用する権限を与える文書
a document that graphically depicts the project team members and their interrelationships for a specific project,特定のプロジェクトにおけるプロジェクト チームのメンバーとその相互関係を図的に示す文書
"a document that provides detailed deliverable, activity, and scheduling information about each component in the work breakdown structure",作業分解構造内の各コンポーネントに関する詳細な成果物、アクティビティ、およびスケジュール情報を提供する文書
"a document that provides, for common and repeated use, rules, guidelines or characteristics for activities or their results, aimed at the achievement of the optimum degree of order in a given context",与えられた文脈において最適な程度の秩序を達成することを目的として、活動またはその結果に関するルール、ガイドライン、特性を共通かつ繰り返し使用するために提供する文書。
"a document that specifies, in a complete, precise, verifiable manner, the requirements, design, behavior, or other characteristics of a system, component, product, result, or service and, often, the procedures for determining whether these provisions have been satisfied. Examples are: requirement specification, design specification, product specification, and test specification",システム、コンポーネント、製品、結果、またはサービスの要件、設計、動作、またはその他の特性を完全、正確、検証可能な方法で指定する文書であり、多くの場合、これらの規定が満たされているかどうかを判断する手順も指定されます。例: 要件仕様、設計仕様、製品仕様、テスト仕様
